issuingCompany,tradingName,cnpj,api_prefix
AFOZ,AQUAFOZAQU,42651953000160,AFOZ
AARJ,AQUARIO,19624745000150,AARJ
ARND,ARANDU,14127813000151,ARND
ARPU,ARAPUA,43674701000119,ARPU
ARSN,ARAUCARIA,12049167000126,ARSN
AETS,ARCO,48961132000106,AETS
INSU,ARCOINSURETE,43751004000114,INSU
ARSP,ARCOS SANEAM,29291541000106,ARSP
ARCV,ARCOVERDE,28008887000183,ARCV
AREG,AREIAENERGIA,7321320000192,AREG
ARSD,ARENA SERRA,60311421000165,ARSD
ARPR,ARES 2 PARTI,27317154000168,ARPR
ARON,ARES ONE PAR,38350319000110,ARON
AGBP,ARGEB,47680198000165,AGBP
AEEP,ARGO ENERGIA,24624551000194,AEEP
TRGO,ARGOTRANSM,24624490000165,TRGO
ARGV,ARGOVTRANS,20514590000188,ARGV
SPRZ,ARGOVITRANS,20514555000169,SPRZ
TJMM,ARGOTRANSVII,21728083000100,TJMM
ARKL,ARKLOK,10489713000114,ARKL
ARML,ARMAC,242184000104,ARML
AMTE,ARMAZEMMATEU,23439441001323,AMTE
ARMB,ARMCO,71586952000187,ARMB
ARQU,ARTECOLA,44699346000103,ARQU
ARTP,ARTEON Z S/A,32711933000183,ARTP
ARTR,ARTERIS,2919555000167,ARTR
ASEC,ARTESANAL,52890908000111,ASEC
CPNB,ARTHURLUNDG,61099834000190,CPNB
ARUN,ARUNA,45290486000188,ARUN
ASAB,ASABRANCAH,9359927000197,ASAB
ASIC,ASA,1551272000142,ASIC
0HBV,ASAP,20716823000125,0HBV
ASCS,ASCENSUS GES,12561807000182,ASCS
ASCV,ASCENSUS TV,44121917000110,ASCV
ASCY,ASCENTYSA,13743550000142,ASCY
ASSR,ASSURUA,38286323000166,ASSR
AISA,ASTER INVEST,42113253000111,AISA
ASTP,ASTICIEPARTI,33824575000188,ASTP
AERE,ASTURIAS,47239287000170,AERE
ATKJ,ATAKAREJO DI,73849952000158,ATKJ
LNDV,ATE V LONDRI,8232879000109,LNDV
CNVI,ATE VI CAMPO,8635011000150,CNVI
FVII,ATE VII FOZ,8806925000136,FVII
ATEV,ATE VIII TRA,10515756000127,ATEV
ATEM,ATEMS,3987364000103,ATEM
ATEB,ATENTOBRASIL,2879250000179,ATEB
ATES,ATHENA,31701408000114,ATES
AENE,ATHONENERGIA,27512695000147,AENE
ATII,ATHONII,38213667000145,ATII
ATHT,ATHON GERAÇÃ,52948225000178,ATHT
AHGD,ATHONGERACAO,30997588000160,AHGD
ATHD,ATHONVI,58315021000186,ATHD
ATIA,ATIAIA,6015859000150,ATIA
ATDC,ATIVAS,10587932000136,ATDC
ATVO,ATIVOS,5437257000129,ATVO
ATLE,ATLANTIC,11489312000127,ATLE
ATLH,ATLAS BRASIL,49381686000105,ATLH
ACRC,ATLAS LUIZ,49037416000173,ACRC
AY2H,ATLAS PROJEC,52781067000104,AY2H
ATMF,ATLETICO MG,52177416000183,ATMF
ATED,ATOM EDUC,23994857000170,ATED
ATRM,ATRIUMEMP,2766836000127,ATRM
ATAM,ATTEND,13039389000120,ATAM
TTGR,ATTO,9509017000143,TTGR
ATVS,ATVOSAGRO,8842690000138,ATVS
AUCK,AUCKLAND,19492543000100,AUCK
AALM,AURAALMASMIN,8213823000107,AALM
AURA,AURA 360,7857093000114,AURA
AURT,AURATUS,6988441000120,AURT
AURE,AUREN,28594234000123,AURE
AESO,AESOPERACOES,194724000113,AESO
AESB,AES BRASIL,37663076000107,AESB
APMC,MONTE CARLO,5867856000182,APMC
APPF,AUTO POSTO,4868412000107,APPF
RICI,AUTORICCI,282862000154,RICI
ATGS,AUTOGE SOLAR,48984443000190,ATGS
ASHS,AUTOGERACAO,41750028000123,ASHS
ASVI,SOLAR PARTIC,53431099000142,ASVI
GSVI,AUTO SOLAR,53047240000108,GSVI
ASPS,AUTOGERVII,55167344000181,ASPS
AMOB,AUTOMOB,35654688000108,AMOB
AUUT,AUTOPASS S/A,7140538000140,AUUT
APFD,AUTOFERDIAS,9326342000170,APFD
APFL,AUTOPISTA,9324949000111,APFL
PLSB,AUTOLITSUL,9313969000197,PLSB
APPS,AUTOPLANSUL,9325109000173,APPS
APRB,AUTOREGIS,9336431000106,APRB
ATRD,AUTOSTRADE,2530164000156,ATRD
ATVC,AUTOVIAÇÃO,30069314000101,ATVC
