ticker,ticker_prefix,cnpj,issuingCompany,tradingName
VIVR3,VIVR,67571414000141,VIVR,VIVER
TASA4,TASA,92781335000102,TASA,TAURUS ARMAS
RNEW3,RNEW,8534605000174,RNEW,RENOVA
TAEE4,TAEE,7859971000130,TAEE,TAESA
OPCT3,OPCT,9114805000130,OPCT,OCEANPACT
HBRE3,HBRE,14785152000151,HBRE,HBR REALTY
TOKY3,TOKY,31553627000101,TOKY,GRUPO TOKY
IFCM3,IFCM,38456921000136,IFCM,INFRACOMM
EUCA4,EUCA,56643018000166,EUCA,EUCATEX
VITT3,VITT,45365558000109,VITT,VITTIA
TGMA3,TGMA,2351144000118,TGMA,TEGMA
AMAR3,AMAR,61189288000189,AMAR,LOJAS MARISA
UNIP6,UNIP,33958695000178,UNIP,UNIPAR
ROMI3,ROMI,56720428000163,ROMI,ROMI
FRAS3,FRAS,88610126000129,FRAS,FRAS-LE
AGRO3,AGRO,7628528000159,AGRO,BRASILAGRO
AMOB3,AMOB,35654688000108,AMOB,AUTOMOB
TAEE3,TAEE,7859971000130,TAEE,TAESA
ETER3,ETER,61092037000181,ETER,ETERNIT
AERI3,AERI,12528708000107,AERI,AERIS
CSUD3,CSUD,1896779000138,CSUD,CSU DIGITAL
IGTI3,IGTI,60543816000193,IGTI,IGUATEMI S.A
IGTI3,IGTI,60543816000193,IGTI,IGUATEMI S.A
LUPA3,LUPA,89463822000112,LUPA,LUPATECH
LPSB3,LPSB,8078847000109,LPSB,LOPES BRASIL
RNEW4,RNEW,8534605000174,RNEW,RENOVA
BIOM3,BIOM,4752991000110,BIOM,BIOMM
SANB4,SANB,90400888000142,SANB,SANTANDER BR
RENT4,RENT,16670085000155,RENT,LOCALIZA
SAPR3,SAPR,76484013000145,SAPR,SANEPAR
FICT3,FICT,359742000108,FICT,FICTORALIMEN
AALR3,AALR,42771949000135,AALR,ALLIAR
CMIG3,CMIG,17155730000164,CMIG,CEMIG
INEP3,INEP,76627504000106,INEP,INEPAR
GGBR3,GGBR,33611500000119,GGBR,GERDAU
SANB3,SANB,90400888000142,SANB,SANTANDER BR
TRAD3,TRAD,26345998000150,TRAD,TC
LAND3,LAND,40337136000106,LAND,TERRASANTAPA
NGRD3,NGRD,10139870000108,NGRD,NEOGRID
ITSA3,ITSA,61532644000115,ITSA,ITAUSA
TCSA3,TCSA,8065557000112,TCSA,TECNISA
BSLI3,BSLI,208000100,BSLI,BRB BANCO
DMVF3,DMVF,12108897000150,DMVF,D1000VFARMA
AGXY3,AGXY,21240146000184,AGXY,AGROGALAXY
BSLI4,BSLI,208000100,BSLI,BRB BANCO
BMEB4,BMEB,17184037000110,BMEB,MERCANTIL
CAMB3,CAMB,61088894000108,CAMB,CAMBUCI
RCSL3,RCSL,91333666000117,RCSL,RECRUSUL
GOAU3,GOAU,92690783000109,GOAU,GERDAU MET
DEXP4,DEXP,2193750000152,DEXP,DEXXOS PAR
MTSA4,MTSA,86375425000109,MTSA,METISA
TECN3,TECN,9295063000197,TECN,TECHNOS
SHOW3,SHOW,2860694000162,SHOW,TIME FOR FUN
WDCN3,WDCN,5917486000140,WDCN,WDC NETWORKS
UCAS3,UCAS,90441460000148,UCAS,UNICASA
EPAR3,EPAR,42331462000131,EPAR,EMBPAR S/A
PDTC3,PDTC,2365069000144,PDTC,PADTEC
TPIS3,TPIS,3014553000191,TPIS,TRIUNFO PART
BRAP3,BRAP,3847461000192,BRAP,BRADESPAR
HAGA4,HAGA,30540991000166,HAGA,HAGA S/A
BPAC3,BPAC,30306294000145,BPAC,BTGP BANCO
TASA3,TASA,92781335000102,TASA,TAURUS ARMAS
INEP4,INEP,76627504000106,INEP,INEPAR
DOTZ3,DOTZ,18174270000184,DOTZ,DOTZ SA
HAGA3,HAGA,30540991000166,HAGA,HAGA S/A
RAPT3,RAPT,89086144000116,RAPT,RANDON PART
JFEN3,JFEN,33035536000100,JFEN,JOAO FORTES
EQPA3,EQPA,4895728000180,EQPA,EQTL PARA
CEDO4,CEDO,17245234000100,CEDO,CEDRO
ALUP4,ALUP,8364948000138,ALUP,ALUPAR
DOHL4,DOHL,84683408000103,DOHL,DOHLER
MNPR3,MNPR,90076886000140,MNPR,MINUPAR
BRKM3,BRKM,42150391000170,BRKM,BRASKEM
PDGR3,PDGR,2950811000189,PDGR,PDG REALT
REDE3,REDE,61584140000149,REDE,REDE ENERGIA
CTAX3,CTAX,4032433000180,CTAX,CONTAX
AZEV11,AZEV,61351532000168,AZEV,AZEVEDO
EMAE4,EMAE,2302101000142,EMAE,EMAE
WHRL4,WHRL,59105999000186,WHRL,WHIRLPOOL
MGEL4,MGEL,61065298000102,MGEL,MANGELS INDL
BOBR4,BOBR,50564053000103,BOBR,BOMBRIL
FHER3,FHER,22266175000188,FHER,FER HERINGER
SCAR3,SCAR,29780061000109,SCAR,SAO CARLOS
ISAE3,ISAE,2998611000104,ISAE,ISA ENERGIA
BDLL4,BDLL,60851615000153,BDLL,BARDELLA
ENGI4,ENGI,864214000106,ENGI,ENERGISA
AVLL3,AVLL,16811931000100,AVLL,ALPHAVILLE
WEST3,WEST,14776142000150,WEST,WESTWING
BEES3,BEES,28127603000178,BEES,BANESTES
PTNT4,PTNT,88613658000110,PTNT,PETTENATI
COCE5,COCE,7047251000170,COCE,COELCE
LOGN3,LOGN,42278291000124,LOGN,LOG-IN
PINE3,PINE,62144175000120,PINE,PINE
SNSY5,SNSY,14807945000124,SNSY,SANSUY
PSVM11,PSVM,18494485000182,PSVM,PORTO VM
CGRA4,CGRA,92012467000170,CGRA,GRAZZIOTIN
BAZA3,BAZA,4902979000144,BAZA,AMAZONIA
UNIP3,UNIP,33958695000178,UNIP,UNIPAR
ALUP3,ALUP,8364948000138,ALUP,ALUPAR
NUTR3,NUTR,51128999000190,NUTR,NUTRIPLANT
OFSA3,OFSA,20258278000170,OFSA,OUROFINO S/A
OIBR4,OIBR,76535764000143,OIBR,OI
EALT4,EALT,82643537000134,EALT,ACO ALTONA
BALM4,BALM,61374161000130,BALM,BAUMER
BPAC5,BPAC,30306294000145,BPAC,BTGP BANCO
HOOT4,HOOT,33200049000147,HOOT,HOTEIS OTHON
